Id;Namn;Latitud;Longitud;Höjd (m);Aktiv
182910;Parkalompolo A;67.7301;22.8219;312.183;Ja
149340;Petisträsk A;64.5659;19.6943;258.047;Ja
161710;Pite-Rönnskär A;65.034;21.5609;4.878;Ja
161790;Piteå;65.2625;21.474;8.268;Ja
74440;Prästkulla;57.7236;14.9829;293.95;Ja
74490;Ramsjöholm;57.8431;14.4286;232.76;Ja
189720;Rensjön A;68.073;19.8351;493.651;Ja
177930;Ritsem A;67.7255;17.4668;541.214;Ja
65160;Ronneby-Bredåkra;56.267;15.265;58.2;Ja
73480;Rångedala A;57.7846;13.1642;297.467;Ja
162790;Rödkallen A;65.3121;22.3709;1.932;Ja
81040;Rörastrand;58.0578;11.6454;9.465;Ja
182810;Saittarova A;67.3363;22.2288;240.652;Ja
96550;Sala;59.9036;16.6579;57.575;Ja
96560;Sala A;59.9093;16.6843;56.575;Ja
98170;Sandhamn D;59.29;18.9146;2.049;Ja
139120;Skagsudde A;63.1872;19.0199;9.343;Ja
83270;Skara;58.4072;13.4407;115;Ja
98160;Skarpö A;59.3446;18.7404;19.287;Ja
151380;Skellefteå Flygplats;64.6244;21.0717;48;Ja
54290;Skillinge A;55.489;14.3144;4.016;Ja
83230;Skövde;58.3949;13.8436;150;Ja
157860;Sorsele;65.5387;17.5409;350.191;Ja
154730;Stekenjokk A;65.0929;14.5055;1037.322;Ja
98210;Stockholm;59.3417;18.0549;43.133;Ja
98230;Stockholm A;59.3417;18.0549;43.133;Ja
97400;Stockholm-Arlanda;59.6269;17.9545;42;Ja
97200;Stockholm-Bromma;59.3537;17.9513;14;Ja
178860;Stora Sjöfallet A;67.4948;18.2907;426.536;Ja
105220;Stora Spånsberget A;60.3817;15.1374;492.257;Ja
132170;Storlien-Storvallen A;63.2826;12.1218;583.124;Ja
98140;Stormyra;59.2024;18.3272;15.646;Ja
163900;Storön A;65.6972;23.0959;2.394;Ja
53300;Sturup;55.5231;13.3787;72;Ja
94580;Ställdalen;59.9382;14.8884;247.176;Ja
127310;Sundsvalls Flygplats;62.5246;17.441;4;Ja
93520;Sunne A;59.8639;13.1166;108.947;Ja
98490;Svanberga A;59.8317;18.6313;14.821;Ja
124030;Sveg A;62.0462;14.4069;357.187;Ja
99270;Svenska Högarna;59.4439;19.5028;10.145;Ja
99280;Svenska Högarna A;59.4423;19.5022;11.811;Ja
132030;Sylarna A;63.0438;12.2748;1030.11;Ja
92100;Säffle;59.1407;12.9336;52.926;Ja
113420;Särna A;61.6909;13.1828;426.61;Ja
82260;Såtenäs;58.428;12.711;55.1;Ja
99450;Söderarm A;59.7531;19.4054;14.006;Ja
97120;Södertälje;59.2141;17.6291;43.221;Ja
178970;Tarfala A;67.9124;18.6101;1143.653;Ja
64320;Tingsryd-Degerhaga;56.5375;14.8989;162.965;Ja
169790;Tjåkaape Mo;66.309;19.21;580.4;Ja
74300;Tomtabacken A;57.4981;14.4645;355.895;Ja
126290;Torpshammar A;62.4943;16.2774;99;Ja
63590;Torup A;56.9494;13.0601;132.532;Ja
113230;Trängslet;61.3795;13.7235;419;Ja
97100;Tullinge A;59.1785;17.9093;44.858;Ja
122260;Tännäs A;62.4494;12.6676;723.013;Ja
72090;Ullared A;57.1134;12.7732;122.356;Ja
73470;Ulricehamn;57.8052;13.4083;175;Ja
140480;Umeå Flygplats;63.7947;20.2918;14;Ja
97510;Uppsala Aut;59.8471;17.632;23.453;Ja
97530;Uppsala Flygplats;59.9;17.593;20.6;Ja
55570;Utklippan A;55.9557;15.7048;2.391;Ja
72080;Varberg;57.1093;12.2961;33.965;Ja
160960;Vidsel;65.8801;20.1315;180;Ja
160970;Vidsel Mo;65.875;20.15;182.566;Ja
146350;Vilhelmina A;64.5798;16.8386;348.198;Ja
149120;Vindeln-Sunnansjönäs;64.1386;19.7618;237;Ja
71380;Vinga A;57.6322;11.6048;18.205;Ja
78400;Visby Flygplats;57.6614;18.3428;42;Ja
84050;Visingsö A;58.0948;14.4058;93.582;Ja
181900;Vittangi;67.6943;21.6335;250;Ja
81350;Väderöarna A;58.576;11.0661;22.356;Ja
82230;Vänersborg;58.3543;12.3585;47.996;Ja
96350;Västerås;59.5972;16.6001;15.836;Ja
138070;Västmarkum A;63.1243;18.2518;141.392;Ja
64510;Växjö A;56.8463;14.8296;198.861;Ja
173900;Ylinenjärvi A;66.6223;23.4635;133.672;Ja
124110;Ytterhogdal;62.1817;14.9478;263.585;Ja
85490;Zinkgruvan;58.8061;15.1253;213.468;Ja
114140;Älvdalen A;61.2536;14.0355;251.633;Ja
161910;Älvsbyn A;65.6691;21.062;43.384;Ja
106570;Åmot A;60.9614;16.4279;161.678;Ja
147100;Åsele;64.1598;17.3494;318.481;Ja
147090;Åsele A;64.165;17.3153;307.712;Ja
94050;Åtorp;59.0963;14.3652;98.8;Ja
84140;Ödeshög D;58.2546;14.653;120.381;Ja
77220;Ölands norra udde;57.3665;17.0976;2.039;Ja
77210;Ölands norra udde A;57.3671;17.0954;2.762;Ja
66110;Ölands södra udde A;56.1977;16.4005;1.53;Ja
95130;Örebro Flygplats;59.2289;15.0455;53;Ja
138240;Örnsköldsviks Flygplats;63.4119;18.9797;108;Ja
108320;Örskär A;60.5256;18.3729;6.539;Ja
78280;Östergarnsholm A;57.4408;18.9839;8.127;Ja
102170;Östmark-Åsarna;60.2788;12.8538;135;Ja
172770;Överkalix-Svartbyn A;66.2618;22.8427;61.024;Ja
173810;Övertorneå;66.386;23.6155;59.508;Ja
